calendarYear,tier,pattern,seedInstantKst,seedKstLabel,qaStatus,csvStatus,progress,note
1977,A,feb4_10-16_kst,1977-02-04T15:33:24+09:00,2/4 15:33,no_patch_needed,no_row,rejected,운세위키 기준 이미 입춘 이후 상태
1981,A,feb4_10-16_kst,1981-02-04T14:55:23+09:00,2/4 14:55,no_patch_needed,no_row,rejected,운세위키 기준 이미 입춘 이후 상태
1985,A,feb4_10-16_kst,1985-02-04T14:11:47+09:00,2/4 14:11,no_patch_needed,no_row,rejected,운세위키 기준 이미 입춘 이후 상태
1989,A,feb4_10-16_kst,1989-02-04T13:27:09+09:00,2/4 13:27,pending,no_row,unchecked,
1993,A,feb4_10-16_kst,1993-02-04T12:37:09+09:00,2/4 12:37,pending,no_row,unchecked,
2005,A,feb4_10-16_kst,2005-02-04T10:43:01+09:00,2/4 10:43,pending,no_row,unchecked,
2010,A,feb4_10-16_kst,2010-02-04T15:47:50+09:00,2/4 15:47,pending,no_row,unchecked,
2014,A,feb4_10-16_kst,2014-02-04T15:03:15+09:00,2/4 15:03,pending,no_row,unchecked,
2018,A,feb4_10-16_kst,2018-02-04T14:28:29+09:00,2/4 14:28,pending,no_row,unchecked,
2022,A,feb4_10-16_kst,2022-02-04T13:50:46+09:00,2/4 13:50,pending,no_row,unchecked,
2026,A,feb4_10-16_kst,2026-02-04T13:02:08+09:00,2/4 13:02,pending,no_row,unchecked,
2030,A,feb4_10-16_kst,2030-02-04T12:08:27+09:00,2/4 12:08,pending,no_row,unchecked,
2034,A,feb4_10-16_kst,2034-02-04T11:41:10+09:00,2/4 11:41,pending,no_row,unchecked,
1971,B,feb5_04-12_kst,1971-02-05T04:25:25+09:00,2/5 04:25,no_patch_needed,no_row,rejected,운세위키 기준 이미 입춘 이후 상태
1972,B,feb5_04-12_kst,1972-02-05T10:20:13+09:00,2/5 10:20,no_patch_needed,no_row,rejected,운세위키 기준 이미 입춘 이후 상태
1975,B,feb5_00-03_kst,1975-02-05T03:59:12+09:00,2/5 03:59,pending,no_row,unchecked,
1976,B,feb5_04-12_kst,1976-02-05T09:39:27+09:00,2/5 09:39,pending,no_row,unchecked,
1979,B,feb5_00-03_kst,1979-02-05T03:12:17+09:00,2/5 03:12,pending,no_row,unchecked,
1980,B,feb5_04-12_kst,1980-02-05T09:09:28+09:00,2/5 09:09,pending,no_row,unchecked,
1983,B,feb5_00-03_kst,1983-02-05T02:39:42+09:00,2/5 02:39,pending,no_row,unchecked,
1984,B,feb5_04-12_kst,1984-02-05T08:18:43+09:00,2/5 08:18,pending,no_row,unchecked,
1987,B,feb5_00-03_kst,1987-02-05T01:51:39+09:00,2/5 01:51,pending,no_row,unchecked,
1988,B,feb5_04-12_kst,1988-02-05T07:42:49+09:00,2/5 07:42,pending,no_row,unchecked,
1991,B,feb5_00-03_kst,1991-02-05T01:08:23+09:00,2/5 01:08,pending,no_row,unchecked,
1992,B,feb5_04-12_kst,1992-02-05T06:48:17+09:00,2/5 06:48,pending,no_row,unchecked,
1996,B,feb5_04-12_kst,1996-02-05T06:07:54+09:00,2/5 06:07,pending,no_row,unchecked,
2000,B,feb5_04-12_kst,2000-02-05T05:40:23+09:00,2/5 05:40,pending,no_row,unchecked,
2004,B,feb5_04-12_kst,2004-02-05T04:56:12+09:00,2/5 04:56,pending,no_row,unchecked,
2008,B,feb5_04-12_kst,2008-02-05T04:00:24+09:00,2/5 04:00,pending,no_row,unchecked,
2012,B,feb5_00-03_kst,2012-02-05T03:22:23+09:00,2/5 03:22,pending,no_row,unchecked,
2016,B,feb5_00-03_kst,2016-02-05T02:46:02+09:00,2/5 02:46,pending,no_row,unchecked,
2020,B,feb5_00-03_kst,2020-02-05T02:03:18+09:00,2/5 02:03,pending,no_row,unchecked,
2028,B,feb5_00-03_kst,2028-02-05T00:31:13+09:00,2/5 00:31,pending,no_row,unchecked,
